,FIPS,County_2012,Total Votes_2012,Democrat_2012,Republican_2012,Total Votes_2016,Democrat_2016,Republican_2016,2012,2016,Swap
25,8049,"Grand County, CO",7961,3575,4149,8588,3358,4494,-574,-1136,0
26,8051,"Gunnison County, CO",7912,4563,3106,9412,5128,3289,1457,1839,0
27,8053,"Hinsdale County, CO",598,228,352,589,197,339,-124,-142,0
28,8055,"Huerfano County, CO",3623,1897,1615,3783,1633,1883,282,-250,1
29,8057,"Jackson County, CO",848,216,600,861,171,629,-384,-458,0
30,8059,"Jefferson County, CO",300151,153069,139960,328883,160776,138177,13109,22599,0
31,8061,"Kiowa County, CO",821,118,677,855,91,728,-559,-637,0
32,8063,"Kit Carson County, CO",3525,789,2664,3702,536,2967,-1875,-2431,0
33,8067,"La Plata County, CO",28475,15063,12554,31150,15525,12587,2509,2938,0
34,8065,"Lake County, CO",2993,1807,1087,3199,1616,1270,720,346,0
35,8069,"Larimer County, CO",161823,83103,74603,195981,93113,83430,8500,9683,0
36,8071,"Las Animas County, CO",6532,3282,3105,6793,2650,3710,177,-1060,1
37,8073,"Lincoln County, CO",2248,537,1663,2436,409,1892,-1126,-1483,0
38,8075,"Logan County, CO",9030,2675,6124,9722,1851,7282,-3449,-5431,0
39,8077,"Mesa County, CO",69033,22448,45087,77654,21729,49779,-22639,-28050,0
40,8079,"Mineral County, CO",650,291,344,652,237,344,-53,-107,0
41,8081,"Moffat County, CO",6042,1291,4616,6525,874,5305,-3325,-4431,0
42,8083,"Montezuma County, CO",12232,4486,7372,12858,3973,7853,-2886,-3880,0
43,8085,"Montrose County, CO",19054,5852,12789,21186,5466,14382,-6937,-8916,0
44,8087,"Morgan County, CO",10478,3761,6461,11960,3151,8145,-2700,-4994,0
45,8089,"Otero County, CO",8039,3566,4315,8452,2943,4928,-749,-1985,0
46,8091,"Ouray County, CO",3183,1640,1470,3310,1697,1351,170,346,0
47,8093,"Park County, CO",9054,3721,5085,10417,3421,6135,-1364,-2714,0
48,8095,"Phillips County, CO",2265,588,1637,2332,436,1791,-1049,-1355,0
49,8097,"Pitkin County, CO",9779,6648,2941,10523,7333,2550,3707,4783,0
50,8099,"Prowers County, CO",4809,1498,3200,5016,1186,3531,-1702,-2345,0
51,8101,"Pueblo County, CO",73306,40624,31023,78646,35875,36265,9601,-390,1
52,8103,"Rio Blanco County, CO",3311,561,2677,3450,436,2791,-2116,-2355,0
53,8105,"Rio Grande County, CO",5453,2428,2892,5534,2001,3085,-464,-1084,0
54,8107,"Routt County, CO",13038,7389,5361,13986,7600,5230,2028,2370,0
55,8109,"Saguache County, CO",2796,1762,937,2835,1417,1147,825,270,0
56,8111,"San Juan County, CO",506,266,212,506,265,215,54,50,0
57,8113,"San Miguel County, CO",4215,2961,1144,4329,2975,1033,1817,1942,0
58,8115,"Sedgwick County, CO",1337,419,881,1364,267,1015,-462,-748,0
59,8117,"Summit County, CO",15038,9169,5495,16174,9557,5100,3674,4457,0
60,8119,"Teller County, CO",12144,3894,7909,14444,3603,9745,-4015,-6142,0
61,8121,"Washington County, CO",2567,461,2059,2733,296,2299,-1598,-2003,0
62,8123,"Weld County, CO",112695,47418,62350,135430,46519,76651,-14932,-30132,0
63,8125,"Yuma County, CO",4481,950,3433,4791,726,3850,-2483,-3124,0
64,11001,"District of Columbia, DC",243348,222332,17337,311268,282830,12723,204995,270107,0
65,26001,"Alcona County, MI",6086,2462,3571,6198,1732,4201,-1109,-2469,0
66,26003,"Alger County, MI",4603,2212,2329,4518,1663,2585,-117,-922,0
67,26005,"Allegan County, MI",49199,19594,29023,56120,18050,34183,-9429,-16133,0
68,26007,"Alpena County, MI",14014,6549,7298,14768,4877,9090,-749,-4213,0
69,26009,"Antrim County, MI",13184,5107,7917,13667,4448,8469,-2810,-4021,0
70,26011,"Arenac County, MI",7826,3669,4054,7729,2384,4950,-385,-2566,0
71,26013,"Baraga County, MI",3490,1574,1866,3518,1156,2158,-292,-1002,0
72,26015,"Barry County, MI",28483,11496,16651,30517,9114,19202,-5155,-10088,0
73,26017,"Bay County, MI",51077,26797,23735,53274,21642,28328,3062,-6686,1
74,26019,"Benzie County, MI",9847,4683,5071,10228,4108,5539,-388,-1431,0
75,26021,"Berrien County, MI",72322,33465,38209,72031,29495,38647,-4744,-9152,0
76,26023,"Branch County, MI",16278,6526,9575,17663,5061,11786,-3049,-6725,0
77,26025,"Calhoun County, MI",58231,29270,28338,58902,24157,31494,932,-7337,1
78,26027,"Cass County, MI",22461,9587,12660,22595,7270,14243,-3073,-6973,0
79,26029,"Charlevoix County, MI",14064,5936,7997,14654,5137,8674,-2061,-3537,0
80,26031,"Cheboygan County, MI",13288,5829,7284,13672,4302,8683,-1455,-4381,0
81,26033,"Chippewa County, MI",15564,7100,8278,15552,5379,9122,-1178,-3743,0
82,26035,"Clare County, MI",13492,6337,6988,13449,4249,8505,-651,-4256,0
83,26037,"Clinton County, MI",39125,18187,20630,40655,16492,21636,-2443,-5144,0
84,26039,"Crawford County, MI",6814,2994,3744,6844,2110,4354,-750,-2244,0
85,26041,"Delta County, MI",18043,8330,9533,18594,6436,11121,-1203,-4685,0
86,26043,"Dickinson County, MI",12785,4952,7688,13232,3923,8580,-2736,-4657,0
87,26045,"Eaton County, MI",54707,27912,26193,56575,24938,27609,1719,-2671,1
88,26047,"Emmet County, MI",17672,7225,10253,18994,6972,10616,-3028,-3644,0
89,26049,"Genesee County, MI",202699,128972,71807,197641,102751,84175,57165,18576,0
90,26051,"Gladwin County, MI",12552,5760,6661,12542,3794,8124,-901,-4330,0
91,26053,"Gogebic County, MI",7576,4058,3444,7383,2925,4018,614,-1093,1
92,26055,"Grand Traverse County, MI",47901,20875,26532,51985,20965,27413,-5657,-6448,0
93,26057,"Gratiot County, MI",16011,7606,8236,16465,5666,9880,-630,-4214,0
94,26059,"Hillsdale County, MI",19081,7106,11727,19940,4799,14095,-4621,-9296,0
95,26061,"Houghton County, MI",14804,6530,8040,15761,6018,8475,-1510,-2457,0
96,26063,"Huron County, MI",15274,6432,8686,15944,4579,10692,-2254,-6113,0
97,26065,"Ingham County, MI",127579,80903,45365,132135,79110,43868,35538,35242,0
98,26067,"Ionia County, MI",25730,11016,14319,27039,8352,16635,-3303,-8283,0
99,26069,"Iosco County, MI",13330,6242,6906,13429,4345,8345,-664,-4000,0
100,26071,"Iron County, MI",5987,2687,3224,5960,2004,3675,-537,-1671,0
101,26073,"Isabella County, MI",24119,13038,10800,25540,11404,12338,2238,-934,1
102,26075,"Jackson County, MI",69323,32301,36298,70125,25795,39793,-3997,-13998,0
103,26077,"Kalamazoo County, MI",122880,69045,52660,126299,67148,51034,16385,16114,0
104,26079,"Kalkaska County, MI",8281,3268,4897,8833,2280,6116,-1629,-3836,0
105,26081,"Kent County, MI",295418,134560,157801,310894,138683,148180,-23241,-9497,0
106,26083,"Keweenaw County, MI",1388,582,774,1434,527,814,-192,-287,0
107,26085,"Lake County, MI",5287,2752,2487,5358,1939,3159,265,-1220,1
108,26087,"Lapeer County, MI",43025,18786,23725,45183,12734,30037,-4939,-17303,0
109,26089,"Leelanau County, MI",14164,6576,7483,14892,6774,7239,-907,-465,0
110,26091,"Lenawee County, MI",44619,21774,22351,46298,16750,26430,-577,-9680,0
111,26093,"Livingston County, MI",97959,37186,60000,106489,34384,65680,-22814,-31296,0
112,26095,"Luce County, MI",2477,951,1501,2591,681,1756,-550,-1075,0
113,26097,"Mackinac County, MI",6097,2652,3396,6144,2085,3744,-744,-1659,0
114,26099,"Macomb County, MI",403388,207992,191896,419312,176317,224665,16096,-48348,1
115,26101,"Manistee County, MI",12385,6467,5736,12660,4979,6915,731,-1936,1
116,26103,"Marquette County, MI",32144,18126,13609,33218,16042,14646,4517,1396,0
117,26105,"Mason County, MI",14588,6856,7580,14792,5281,8505,-724,-3224,0
118,26107,"Mecosta County, MI",16879,7515,9175,17259,5827,10305,-1660,-4478,0
119,26109,"Menominee County, MI",10922,5244,5565,10824,3539,6702,-321,-3163,0
120,26111,"Midland County, MI",41808,17480,23942,42776,15635,23846,-6462,-8211,0
121,26113,"Missaukee County, MI",7024,2274,4665,7317,1565,5386,-2391,-3821,0
122,26115,"Monroe County, MI",72682,36310,35593,74655,26863,43261,717,-16398,1
123,26117,"Montcalm County, MI",25383,11431,13624,26760,7874,16907,-2193,-9033,0
124,26119,"Montmorency County, MI",5051,2049,2928,5032,1287,3498,-879,-2211,0
125,26121,"Muskegon County, MI",76054,44436,30882,78723,37304,36127,13554,1177,0
126,26123,"Newaygo County, MI",21424,8723,12458,22782,6212,15173,-3735,-8961,0
127,26125,"Oakland County, MI",650306,349055,296531,668925,343070,289203,52524,53867,0
128,26127,"Oceana County, MI",11438,5063,6239,11930,3973,7228,-1176,-3255,0
129,26129,"Ogemaw County, MI",10361,4791,5437,10440,3030,6827,-646,-3797,0
130,26131,"Ontonagon County, MI",3535,1585,1906,3433,1176,2066,-321,-890,0
131,26133,"Osceola County, MI",10265,3981,6140,10609,2705,7336,-2159,-4631,0
132,26135,"Oscoda County, MI",4027,1654,2308,4092,1044,2843,-654,-1799,0
133,26137,"Otsego County, MI",11829,4681,7008,12610,3556,8266,-2327,-4710,0
134,26139,"Ottawa County, MI",132695,43068,88503,143848,44973,88467,-45435,-43494,0
135,26141,"Presque Isle County, MI",7077,3192,3794,7257,2400,4488,-602,-2088,0
136,26143,"Roscommon County, MI",13032,6198,6701,13096,4287,8141,-503,-3854,0
137,26145,"Saginaw County, MI",97903,54372,42716,94780,44396,45469,11656,-1073,1
138,26151,"Sanilac County, MI",18359,7212,10961,19249,4873,13446,-3749,-8573,0
139,26153,"Schoolcraft County, MI",4046,1865,2142,4177,1369,2556,-277,-1187,0
140,26155,"Shiawassee County, MI",33590,17197,15962,34111,12546,19230,1235,-6684,1
141,26147,"St. Clair County, MI",73740,33845,39076,78003,24553,49051,-5231,-24498,0
142,26149,"St. Joseph County, MI",23314,10106,12975,23967,7526,14884,-2869,-7358,0
143,26157,"Tuscola County, MI",26482,11643,14517,25928,7429,17102,-2874,-9673,0
144,26159,"Van Buren County, MI",32798,16288,16140,33274,13258,17890,148,-4632,1
145,26161,"Washtenaw County, MI",179016,120791,56401,190079,128483,50631,64390,77852,0
146,26163,"Wayne County, MI",814108,595253,213586,782719,519444,228993,381667,290451,0
147,26165,"Wexford County, MI",13859,5717,7972,15370,4436,10000,-2255,-5564,0
148,51001,"Accomack County, VA",16020,7653,8212,15818,6740,8583,-559,-1843,0
149,51003,"Albemarle County, VA",53732,29712,23263,56726,33345,19259,6449,14086,0
150,51510,"Alexandria city, VA",73470,52434,20205,75762,57242,13285,32229,43957,0
151,51005,"Alleghany County, VA",7162,3403,3595,7325,2166,4874,-192,-2708,0
152,51007,"Amelia County, VA",6885,2488,4324,7040,2128,4708,-1836,-2580,0
153,51009,"Amherst County, VA",14937,5898,8865,15396,5057,9719,-2967,-4662,0
154,51011,"Appomattox County, VA",7924,2453,5340,7997,2023,5715,-2887,-3692,0
155,51013,"Arlington County, VA",117279,81178,34433,121339,92016,20186,46745,71830,0
156,51015,"Augusta County, VA",33614,9448,23614,36343,8177,26163,-14166,-17986,0
157,51017,"Bath County, VA",2218,894,1274,2253,603,1548,-380,-945,0
158,51019,"Bedford County, VA",40750,10925,29281,42525,9768,30659,-18356,-20891,0
159,51021,"Bland County, VA",2937,735,2144,3139,453,2573,-1409,-2120,0
160,51023,"Botetourt County, VA",18208,5449,12471,18739,4494,13375,-7022,-8881,0
161,51520,"Bristol city, VA",7356,2487,4776,7027,1835,4892,-2289,-3057,0
162,51025,"Brunswick County, VA",8029,4993,2965,7669,4481,3046,2028,1435,0
163,51027,"Buchanan County, VA",9636,3094,6436,9247,1721,7296,-3342,-5575,0
